0,1,2,3,4
Jan 29,00:21:14,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:21:14,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:21:14,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:21:14,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:24:02,66.214.36.72 DST=216.58.112.55 LEN=113 TOS=0x00 PREC=0x00 TTL=45 ID=56393 PROTO=UDP SPT=63656,40686,93
Jan 29,00:24:11,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:24:11,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:24:11,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:24:11,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:27:12,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:27:12,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:27:12,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:27:12,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:28:26,192.168.17.11 DST=10.97.14.25 LEN=76 TOS=0x00 PREC=0x00 TTL=126 ID=58565 PROTO=UDP SPT=123,123,56
Jan 29,00:30:22,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:30:22,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:30:22,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:30:22,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:33:27,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:33:27,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:33:27,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:33:27,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:34:42,24.174.141.170 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=56780 PROTO=UDP SPT=41573,40686,31
Jan 29,00:34:42,99.251.241.22 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=119 ID=32484 PROTO=UDP SPT=15658,40686,31
Jan 29,00:34:42,75.27.233.174 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=18234 PROTO=UDP SPT=9655,40686,31
Jan 29,00:34:43,91.139.26.208 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=108 ID=29097 PROTO=UDP SPT=4174,40686,31
Jan 29,00:34:43,72.129.201.114 DST=216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=28541 PROTO=UDP SPT=36319,40686,31
Jan 29,00:36:24,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:36:24,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:36:24,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:36:24,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:36:52,79.186.174.12 DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=115 ID=36633 PROTO=UDP SPT=6348,40686,40
Jan 29,00:37:35,106.108.177.47 DST=216.58.112.55 LEN=387 TOS=0x00 PREC=0x00 TTL=56 ID=25783 PROTO=UDP SPT=31105,1026,367
Jan 29,00:39:24,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:39:24,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:39:24,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:39:24,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:40:44,24.64.216.116 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=64427 PROTO=UDP SPT=14802,1026,492
Jan 29,00:40:44,24.64.216.116 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=64428 PROTO=UDP SPT=14802,1027,492
Jan 29,00:40:44,24.64.216.116 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=64429 PROTO=UDP SPT=14802,1028,492
Jan 29,00:42:36,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:42:36,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:42:36,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:42:36,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:45:30,192.168.17.11 DST=10.97.14.25 LEN=76 TOS=0x00 PREC=0x00 TTL=126 ID=58650 PROTO=UDP SPT=123,123,56
